ErrorCode,ErrorColumn,ErrorMessage,SFAccountID,SFOrderID,SageSalesOrderNumber
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z38HAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z38XAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z38eAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5efOAAR,8014x000000Z38lAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5ePiAAJ,8014x000000Z38uAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z39XAAS,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z39gAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5gNDAAZ,8014x000000Z39xAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5ePiAAJ,8014x000000Z39yAAC,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5ebCAAR,8014x000000Z3ADAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5ebCAAR,8014x000000Z3ACAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eP6AAJ,8014x000000Z3ATAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5hXhAAJ,8014x000000Z3AYAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3AtAAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5ebCAAR,8014x000000Z3AuAAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5f5CAAR,8014x000000Z3E1AAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3EEAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3EjAAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5ePiAAJ,8014x000000Z3ElAAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5ebCAAR,8014x000000Z3EoAAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: FEDEX:ShipVia__c --,0014x00000L5eeuAAB,8014x000000Z3FCAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3FTAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3FoAAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3GBAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5ebCAAR,8014x000000Z3GLAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3GOAA0,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eOeAAJ,8014x000000Z3JtAAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5et6AAB,8014x000000Z3K9AAK,
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: NOT DEFINED:ShipVia__c --,0014x00000L5eP8AAJ,8014x000000Z3KLAA0,
