ErrorCode,ErrorColumn,ErrorMessage,SFAccountID,SalesOrderNo
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: OTHER (USED METHOD NO LONGER AVAIL):ShipVia__c --,0014x00000L5g2vAAB,0027506
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027493
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027484
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027476
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027477
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027448
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027458
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027462
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027433
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027415
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027405
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027402
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027382
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027376
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027377
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027379
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027331
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027333
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027348
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027319
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027305
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027299
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027281
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027269
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027273
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027252
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027253
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027235
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027238
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027218
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027201
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027180
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027182
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027154
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027137
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027117
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027129
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027113
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027056
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027041
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027036
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027037
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027039
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027024
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027010
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027021
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026997
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0027001
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026983
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026972
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026973
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026976
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026949
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026924
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026916
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026896
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026874
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026883
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026852
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026854
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026855
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026795
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026806
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: OTHER (USED METHOD NO LONGER AVAIL):ShipVia__c --,0014x00000L5eb6AAB,0026792
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026761
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026772
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026773
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026833
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026713
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026714
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026723
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026736
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026757
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026758
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026759
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026710
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026690
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026691
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: OTHER (USED METHOD NO LONGER AVAIL):ShipVia__c --,0014x00000L5eb6AAB,0026680
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026666
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: OTHER (USED METHOD NO LONGER AVAIL):ShipVia__c --,0014x00000L5eb6AAB,0026670
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: OTHER (USED METHOD NO LONGER AVAIL):ShipVia__c --,0014x00000L5eb6AAB,0026672
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026676
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026677
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026634
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026635
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026646
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026647
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026658
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026599
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026600
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026605
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026606
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026604
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026581
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026567
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026539
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026524
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026477
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026452
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: OTHER (USED METHOD NO LONGER AVAIL):ShipVia__c --,0014x00000L5eb6AAB,0026448
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026434
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026442
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026387
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026397
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026400
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026407
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026352
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026357
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026377
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026313
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026325
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026273
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026274
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026292
1,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ShipVia (ERP): bad value for restricted picklist field: OTHER (USED METHOD NO LONGER AVAIL):ShipVia__c --,0014x00000L5eb6AAB,0026304
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026227
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026213
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026253
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026254
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026255
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026256
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026261
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026187
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026192
1,,REQUIRED_FIELD_MISSING:Account Name:You must enter a value:--,,0026170
